INSTRUCTION,SIZE,OPCODE,OPERAND,reg1,reg2,reg3
NOPE,,,,,,
HLT,,,,,,
SET,,,,,,
ADD,,,,,,
ADI,,,,,,
ADDC,,,,,,
SUB,,,,,,
SUI,,,,,,
SUBB,,,,,,
AND,,,,,,
ANI,,,,,,
OR,,,,,,
ORI,,,,,,
NOT,,,,,,
XOR,,,,,,
XRI,,,,,,
XNR,,,,,,
XNI,,,,,,
IIN,,,,,,
DIN,,,,,,
CMP,,,,,,
RS,,,,,,
LS,,,,,,
RR,,,,,,
LR,,,,,,
ARS,,,,,,
MV,,,,,,
LD,,,,,,
LDI,,,,,,
ST,,,,,,
STI,,,,,,
LIN,,,,,,
SIN,,,,,,
LNR,,,,,,
RPC,,,,,,
RSP,,,,,,
CON,,,,,,
COR,,,,,,
CAN,,,,,,
JMP,,,,,,
CALL,,,,,,
RET,,,,,,
